,carat,cut,color,clarity,depth,table,price,x,y,z,set
11207,1.01,Premium,H,VS2,61.3,59,4959,6.44,6.48,3.96,0
45562,0.52,Ideal,E,VS2,62.6,57,1689,5.09,5.17,3.21,0
38306,0.37,Good,G,SI2,63.4,57,487,4.55,4.57,2.89,0
35616,0.3,Premium,I,VS1,61.7,59,473,4.26,4.3,2.64,0
38380,0.39,Ideal,F,VS1,62.2,56,1024,4.7,4.63,2.9,0
6156,0.9,Good,G,VS2,62,63,3990,6.06,6.13,3.78,0
42923,0.53,Premium,G,SI1,61.3,58,1363,5.21,5.16,3.18,0
8367,0.9,Very Good,G,VS2,58.8,61,4400,6.28,6.3,3.7,0
22907,1.53,Ideal,G,SI1,60.1,57,10947,7.46,7.57,4.52,0
38254,0.31,Very Good,J,VS2,62.7,58,380,4.3,4.34,2.71,0
26170,1.53,Premium,G,VVS2,62.5,60,15505,7.34,7.31,4.58,0
39808,0.42,Premium,H,VVS1,60.9,62,1096,4.86,4.8,2.94,0
43306,0.6,Very Good,I,VS2,60.6,60,1402,5.46,5.49,3.32,0
11268,1.02,Ideal,D,SI2,58.9,61,4971,6.56,6.62,3.88,0
19737,1.02,Ideal,E,VS1,62.2,54,8303,6.43,6.46,4.01,0
52943,0.7,Very Good,F,VS2,62.3,61,2593,5.55,5.62,3.48,0
52020,0.73,Very Good,H,VS1,58.7,61,2446,5.9,5.95,3.48,0
10083,0.95,Very Good,E,SI1,62.8,59,4711,6.21,6.25,3.91,0
16662,1.03,Very Good,F,VS1,61.7,56,6662,6.47,6.49,4,0
26204,1.5,Ideal,F,VS2,61.9,56,15584,7.33,7.31,4.53,0
49005,0.51,Very Good,F,VVS2,62.7,56,2051,5.11,5.13,3.21,0
25788,2.01,Very Good,H,SI2,62.7,60,14768,7.94,8.03,5.01,0
27354,2.41,Good,I,SI2,57.7,61,17923,8.87,8.83,5.11,0
5443,1.14,Premium,H,SI2,62.2,61,3830,6.72,6.64,4.16,0
6822,0.9,Good,F,SI1,62.5,59,4119,6.1,6.13,3.82,0
46985,0.59,Ideal,D,SI1,61.8,56,1816,5.37,5.4,3.33,0
22673,1.26,Ideal,G,VVS1,62.1,57,10720,6.91,7.01,4.32,0
2983,1,Very Good,E,I1,63,57,3300,6.32,6.35,3.99,0
16766,1.31,Ideal,F,SI2,62.7,57,6676,7.05,6.98,4.4,0
11578,1.23,Premium,G,SI1,62.5,62,5039,6.87,6.78,4.27,0
39311,0.55,Premium,G,SI2,61.2,59,1069,5.3,5.26,3.23,0
5634,1,Good,I,SI1,60.5,57,3878,6.4,6.46,3.89,0
33041,0.32,Ideal,G,VVS1,62.2,53,814,4.42,4.45,2.76,0
28014,0.3,Ideal,E,VS2,61.8,56,658,4.3,4.34,2.67,0
38652,0.42,Premium,D,SI1,59.8,59,1040,4.91,4.86,2.92,0
35503,0.41,Very Good,E,SI1,60.5,63,904,4.81,4.77,2.9,0
42694,0.54,Ideal,H,VS2,60.1,57,1338,5.28,5.33,3.19,0
1853,0.72,Very Good,E,VS2,63,58,3065,5.69,5.73,3.6,0
47182,0.51,Ideal,F,VS1,61.3,54,1836,5.23,5.12,3.17,0
14397,0.3,Ideal,H,VVS2,61.5,57,605,4.31,4.34,2.66,0
15271,1.05,Very Good,H,VS1,59.5,56,6132,6.62,6.68,3.96,0
52228,0.7,Ideal,H,VS1,61.9,55,2484,5.66,5.72,3.52,0
52780,0.7,Very Good,D,SI1,63.7,60,2565,5.57,5.61,3.56,0
13625,1.11,Very Good,J,VS1,59.9,56,5576,6.8,6.77,4.07,0
14415,1.08,Good,D,SI1,63.8,59,5821,6.39,6.47,4.1,0
19189,1.01,Ideal,G,VVS2,62.5,56,7941,6.38,6.41,4,0
11525,0.7,Premium,D,IF,60,59,5027,5.75,5.81,3.47,0
42909,0.51,Very Good,E,SI1,60.8,57,1363,5.12,5.17,3.13,0
32745,0.31,Ideal,D,VS2,60.7,57,803,4.37,4.4,2.66,0
46442,0.53,Ideal,E,VS1,60.4,57,1772,5.27,5.26,3.18,0
9738,1.2,Premium,J,SI1,61.5,59,4657,6.84,6.81,4.2,0
7214,1.01,Fair,H,SI1,64.6,55,4191,6.29,6.25,4.05,0
10419,1.01,Good,G,SI1,63.3,59,4781,6.24,6.31,3.97,0
37855,0.4,Ideal,D,VS1,60.6,56,1003,4.78,4.82,2.91,0
38437,0.49,Premium,G,SI1,60.6,60,1026,5.1,5.06,3.08,0
839,0.8,Ideal,G,SI1,61.3,57,2867,5.96,5.91,3.64,0
44162,0.6,Very Good,G,SI1,63.5,59.9,1565,5.28,5.3,3.36,0
52029,0.8,Premium,F,SI2,61.4,58,2447,5.95,5.93,3.65,0
13928,0.96,Ideal,F,VS1,61.2,56,5666,6.38,6.34,3.89,0
16501,1.06,Very Good,G,VS1,63.4,57,6595,6.48,6.45,4.1,0
42355,0.38,Ideal,E,IF,61.4,55,1300,4.68,4.7,2.88,0
21924,1.54,Ideal,I,VS2,61.9,55.8,9998,7.38,7.43,4.58,0
21366,0.42,Ideal,F,SI2,61.7,54,626,4.85,4.87,3,0
4275,0.9,Very Good,E,SI2,61,59,3584,6.14,6.18,3.76,0
14122,1.21,Very Good,I,VS1,60.6,60,5726,6.89,6.85,4.16,0
39958,0.33,Ideal,D,SI2,61.3,56,492,4.45,4.49,2.74,0
31975,0.26,Very Good,E,VS2,63.2,56,453,4.06,4.1,2.58,0
48440,0.51,Ideal,G,VVS2,61.3,57,1974,5.15,5.12,3.15,0
15979,1.7,Ideal,H,I1,61.3,55,6397,7.7,7.63,4.7,0
11598,1.16,Very Good,D,SI2,62.5,60,5044,6.64,6.7,4.17,0
