,carat,cut,color,clarity,depth,table,price,x,y,z
11207,1.01,Premium,H,VS2,61.3,59,4959,6.44,6.48,3.96
45562,0.52,Ideal,E,VS2,62.6,57,1689,5.09,5.17,3.21
38306,0.37,Good,G,SI2,63.4,57,487,4.55,4.57,2.89
35616,0.3,Premium,I,VS1,61.7,59,473,4.26,4.3,2.64
38380,0.39,Ideal,F,VS1,62.2,56,1024,4.7,4.63,2.9
6156,0.9,Good,G,VS2,62,63,3990,6.06,6.13,3.78
42923,0.53,Premium,G,SI1,61.3,58,1363,5.21,5.16,3.18
8367,0.9,Very Good,G,VS2,58.8,61,4400,6.28,6.3,3.7
22907,1.53,Ideal,G,SI1,60.1,57,10947,7.46,7.57,4.52
38254,0.31,Very Good,J,VS2,62.7,58,380,4.3,4.34,2.71
26170,1.53,Premium,G,VVS2,62.5,60,15505,7.34,7.31,4.58
39808,0.42,Premium,H,VVS1,60.9,62,1096,4.86,4.8,2.94
43306,0.6,Very Good,I,VS2,60.6,60,1402,5.46,5.49,3.32
11268,1.02,Ideal,D,SI2,58.9,61,4971,6.56,6.62,3.88
19737,1.02,Ideal,E,VS1,62.2,54,8303,6.43,6.46,4.01
52943,0.7,Very Good,F,VS2,62.3,61,2593,5.55,5.62,3.48
52020,0.73,Very Good,H,VS1,58.7,61,2446,5.9,5.95,3.48
10083,0.95,Very Good,E,SI1,62.8,59,4711,6.21,6.25,3.91
16662,1.03,Very Good,F,VS1,61.7,56,6662,6.47,6.49,4
26204,1.5,Ideal,F,VS2,61.9,56,15584,7.33,7.31,4.53
49005,0.51,Very Good,F,VVS2,62.7,56,2051,5.11,5.13,3.21
25788,2.01,Very Good,H,SI2,62.7,60,14768,7.94,8.03,5.01
27354,2.41,Good,I,SI2,57.7,61,17923,8.87,8.83,5.11
5443,1.14,Premium,H,SI2,62.2,61,3830,6.72,6.64,4.16
6822,0.9,Good,F,SI1,62.5,59,4119,6.1,6.13,3.82
46985,0.59,Ideal,D,SI1,61.8,56,1816,5.37,5.4,3.33
